tipo,nombre,descripcion,tipo_movimiento,general_nombre,concepto_nombre
general,ADMINISTRACION,Categoría general para administracion,gasto,,
general,DEPORTIVOS,Categoría general para deportivos,gasto,,
general,ENTRENAMIENTO,Categoría general para entrenamiento,gasto,,
general,MEDICOS,Categoría general para medicos,gasto,,
general,PARTIDOS,Categoría general para partidos,gasto,,
general,DESARROLLO SOCIAL,Categoría general para desarrollo social,gasto,,
concepto,CASA CLUB,Concepto relacionado con casa club,gasto,ADMINISTRACION,
concepto,PAPELERIA,Concepto relacionado con papeleria,gasto,ADMINISTRACION,
concepto,NOMINA ADMINISTRATIVA,Concepto relacionado con nomina administrativa,gasto,ADMINISTRACION,
concepto,AGUINALDO,Concepto relacionado con aguinaldo,gasto,ADMINISTRACION,
concepto,IMPUESTOS FEDERALES,Concepto relacionado con impuestos federales,gasto,ADMINISTRACION,
concepto,IMPUESTOS SOBRE NOMINA,Concepto relacionado con impuestos sobre nomina,gasto,ADMINISTRACION,
concepto,OUTSORCING,Concepto relacionado con outsorcing,gasto,ADMINISTRACION,
concepto,CASA DIRECCION DEPORTIVA,Concepto relacionado con casa direccion deportiva,gasto,ADMINISTRACION,
concepto,COMBUSTIBLE,Concepto relacionado con combustible,gasto,DEPORTIVOS,
concepto,MANTENIMIENTO VEHICULOS,Concepto relacionado con mantenimiento vehiculos,gasto,DEPORTIVOS,
concepto,ALIMENTOS,Concepto relacionado con alimentos,gasto,DEPORTIVOS,
concepto,CUOTAS Y SANCIONES,Concepto relacionado con cuotas y sanciones,ingreso,DEPORTIVOS,
concepto,BECA PREMIER JUGADORES,Concepto relacionado con beca premier jugadores,gasto,DEPORTIVOS,
concepto,SUELDO PREMIER CUERPO TECNICO,Concepto relacionado con sueldo premier cuerpo tecnico,gasto,DEPORTIVOS,
concepto,SUELDO DIRECTOR DEPORTIVO Y STAFF,Concepto relacionado con sueldo director deportivo y staff,gasto,DEPORTIVOS,
concepto,BECA TDP JUGADORES,Concepto relacionado con beca tdp jugadores,gasto,DEPORTIVOS,
concepto,SUELDO TDP CUERPO TECNICO,Concepto relacionado con sueldo tdp cuerpo tecnico,gasto,DEPORTIVOS,
concepto,AGUINALDO TDP,Concepto relacionado con aguinaldo tdp,gasto,DEPORTIVOS,
concepto,PREMIOS JUGADORES,Concepto relacionado con premios jugadores,gasto,DEPORTIVOS,
concepto,UNIFORMES,Concepto relacionado con uniformes,gasto,DEPORTIVOS,
concepto,ACCESORIOS DE CANCHA,Concepto relacionado con accesorios de cancha,gasto,DEPORTIVOS,
concepto,HIDRATACION,Concepto relacionado con hidratacion,gasto,ENTRENAMIENTO,
concepto,MATERIAL DEPORTIVO,Concepto relacionado con material deportivo,gasto,ENTRENAMIENTO,
concepto,COMIDAS Y SUPLEMENTOS,Concepto relacionado con comidas y suplementos,gasto,ENTRENAMIENTO,
concepto,TRANSPORTE,Concepto relacionado con transporte,gasto,ENTRENAMIENTO,
concepto,MEDICAMENTOS,Concepto relacionado con medicamentos,gasto,MEDICOS,
