tipo,nombre,descripcion,general_nombre,concepto_nombre
general,ADMINISTRACION,Categoría general para administracion,,
general,DEPORTIVOS,Categoría general para deportivos,,
general,ENTRENAMIENTO,Categoría general para entrenamiento,,
general,MEDICOS,Categoría general para medicos,,
general,PARTIDOS,Categoría general para partidos,,
general,DESARROLLO SOCIAL,Categoría general para desarrollo social,,
concepto,CASA CLUB,Concepto relacionado con casa club,ADMINISTRACION,
concepto,PAPELERIA,Concepto relacionado con papeleria,ADMINISTRACION,
concepto,NOMINA ADMINISTRATIVA,Concepto relacionado con nomina administrativa,ADMINISTRACION,
concepto,AGUINALDO,Concepto relacionado con aguinaldo,ADMINISTRACION,
concepto,IMPUESTOS FEDERALES,Concepto relacionado con impuestos federales,ADMINISTRACION,
concepto,IMPUESTOS SOBRE NOMINA,Concepto relacionado con impuestos sobre nomina,ADMINISTRACION,
concepto,OUTSORCING,Concepto relacionado con outsorcing,ADMINISTRACION,
concepto,CASA DIRECCION DEPORTIVA,Concepto relacionado con casa direccion deportiva,ADMINISTRACION,
concepto,COMBUSTIBLE,Concepto relacionado con combustible,DEPORTIVOS,
concepto,MANTENIMIENTO VEHICULOS,Concepto relacionado con mantenimiento vehiculos,DEPORTIVOS,
concepto,ALIMENTOS,Concepto relacionado con alimentos,DEPORTIVOS,
concepto,CUOTAS Y SANCIONES,Concepto relacionado con cuotas y sanciones,DEPORTIVOS,
concepto,BECA PREMIER JUGADORES,Concepto relacionado con beca premier jugadores,DEPORTIVOS,
concepto,SUELDO PREMIER CUERPO TECNICO,Concepto relacionado con sueldo premier cuerpo tecnico,DEPORTIVOS,
concepto,SUELDO DIRECTOR DEPORTIVO Y STAFF,Concepto relacionado con sueldo director deportivo y staff,DEPORTIVOS,
concepto,BECA TDP JUGADORES,Concepto relacionado con beca tdp jugadores,DEPORTIVOS,
concepto,SUELDO TDP CUERPO TECNICO,Concepto relacionado con sueldo tdp cuerpo tecnico,DEPORTIVOS,
concepto,AGUINALDO TDP,Concepto relacionado con aguinaldo tdp,DEPORTIVOS,
concepto,PREMIOS JUGADORES,Concepto relacionado con premios jugadores,DEPORTIVOS,
concepto,UNIFORMES,Concepto relacionado con uniformes,DEPORTIVOS,
concepto,ACCESORIOS DE CANCHA,Concepto relacionado con accesorios de cancha,DEPORTIVOS,
concepto,HIDRATACION,Concepto relacionado con hidratacion,ENTRENAMIENTO,
concepto,MATERIAL DEPORTIVO,Concepto relacionado con material deportivo,ENTRENAMIENTO,
concepto,COMIDAS Y SUPLEMENTOS,Concepto relacionado con comidas y suplementos,ENTRENAMIENTO,
concepto,TRANSPORTE,Concepto relacionado con transporte,ENTRENAMIENTO,
concepto,MEDICAMENTOS,Concepto relacionado con medicamentos,MEDICOS,
concepto,REHABILITACION,Concepto relacionado con rehabilitacion,MEDICOS,
concepto,EQUIPO MEDICO,Concepto relacionado con equipo medico,MEDICOS,
concepto,RADIOGRAFIAS Y ESTUDIOS,Concepto relacionado con radiografias y estudios,MEDICOS,
concepto,AMBULANCIA,Concepto relacionado con ambulancia,PARTIDOS,
concepto,INSPECTOR,Concepto relacionado con inspector,PARTIDOS,
concepto,ARBITRAJE,Concepto relacionado con arbitraje,PARTIDOS,
concepto,AUDIO,Concepto relacionado con audio,PARTIDOS,
concepto,HIDRATACION,Concepto relacionado con hidratacion,PARTIDOS,
concepto,HONORARIOS MEDICOS,Concepto relacionado con honorarios medicos,PARTIDOS,
concepto,EVENTO,Concepto relacionado con evento,PARTIDOS,
concepto,INTELIGENCIA DEPORTIVA,Concepto relacionado con inteligencia deportiva,PARTIDOS,
concepto,ALIMENTO POST PARTIDO,Concepto relacionado con alimento post partido,PARTIDOS,
concepto,SEGURIDAD,Concepto relacionado con seguridad,PARTIDOS,
concepto,SNACK PROMOCIONALES,Concepto relacionado con snack promocionales,PARTIDOS,
concepto,NARRADORES,Concepto relacionado con narradores,PARTIDOS,
concepto,VIATICOS,Concepto relacionado con viaticos,PARTIDOS,
concepto,GASTOS DE VIAJE,Concepto relacionado con gastos de viaje,PARTIDOS,
concepto,BECA,Concepto relacionado con beca,DESARROLLO SOCIAL,
concepto,COMUNIDAD,Concepto relacionado con comunidad,DESARROLLO SOCIAL,
concepto,CAPACITACION,Concepto relacionado con capacitacion,DESARROLLO SOCIAL,
concepto,EMPRENDIMIENTO,Concepto relacionado con emprendimiento,DESARROLLO SOCIAL,
concepto,DEPARTAMENTO EL CERCADO,Concepto relacionado con departamento el cercado,ADMINISTRACION,
concepto,MATERIAL Y EQ LIMPIEZA,Concepto relacionado con material y eq limpieza,ADMINISTRACION,
concepto,MANTENIMIENTO INSTALACIONES,Concepto relacionado con mantenimiento instalaciones,ADMINISTRACION,
concepto,CANCHA EL BARRIAL,Concepto relacionado con cancha el barrial,ADMINISTRACION,
concepto,CAPILLA SOCCER PARK,Concepto relacionado con capilla soccer park,ADMINISTRACION,
concepto,CANCHA ARGENTINOS,Concepto relacionado con cancha argentinos,ADMINISTRACION,
concepto,INFONAVIT,Concepto relacionado con infonavit,ADMINISTRACION,
concepto,IMSS,Concepto relacionado con imss,ADMINISTRACION,
concepto,VIATICOS Y GASTOS DE VIAJE,Concepto relacionado con viaticos y gastos de viaje,ADMINISTRACION,
concepto,FINANCIAMIENTO,Concepto relacionado con financiamiento,ADMINISTRACION,
concepto,AGUINALDO PREMIER ,Concepto relacionado con aguinaldo premier ,ADMINISTRACION,
concepto,FEDERACION ,Concepto relacionado con federacion ,ADMINISTRACION,
concepto,RENTA DE CANCHA ,Concepto relacionado con renta de cancha ,ADMINISTRACION,
concepto,TRANSMISION ,Concepto relacionado con transmision ,ADMINISTRACION,
concepto,HOSPEDAJE  ,Concepto relacionado con hospedaje  ,ADMINISTRACION,
